Geographic Area Name,Total housing units,Occupied housing units,Rental vacancy rate,Total housing units,Owner-occupied,Median (dollars),Median (dollars),2023
"Marquette County, Michigan",33693,28707,3.7,33693,19098,227800,842,2023
"Midland County, Michigan",37259,35761,1.1,37259,27675,195900,894,2023
"Monroe County, Michigan",67062,62936,2.6,67062,50882,245000,983,2023
"Montcalm County, Michigan",28302,24697,9.4,28302,20818,200500,924,2023
"Muskegon County, Michigan",75718,70042,9.4,75718,56878,208700,1003,2023
"Oakland County, Michigan",563476,533533,7.1,563476,388282,338000,1349,2023
"Ottawa County, Michigan",119144,114316,3.3,119144,90387,328400,1149,2023
"Saginaw County, Michigan",86343,77158,16.3,86343,59131,146400,917,2023
"St. Clair County, Michigan",73153,69234,1.0,73153,54728,232300,914,2023
"Shiawassee County, Michigan",30383,26950,16.9,30383,21892,182600,951,2023
"Van Buren County, Michigan",37618,31149,8.3,37618,25337,213200,758,2023
"Washtenaw County, Michigan",160127,149379,3.8,160127,93487,360400,1451,2023
"Wayne County, Michigan",803765,696332,6.2,803765,461095,177300,1095,2023
"Anoka County, Minnesota",144034,138924,2.4,144034,111578,349400,1294,2023
"Blue Earth County, Minnesota",30183,27037,13.5,30183,16415,276300,1055,2023
"Carver County, Minnesota",43199,42250,1.0,43199,34486,456700,1583,2023
"Clay County, Minnesota",27846,26890,1.7,27846,17165,267600,1111,2023
"Crow Wing County, Minnesota",43133,31463,2.0,43133,23854,332400,1034,2023
"Dakota County, Minnesota",181431,176865,3.6,181431,128582,383600,1585,2023
