ZIP,TRACT,USPS_ZIP_PREF_CITY,USPS_ZIP_PREF_STATE,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
00662,72071410703,ISABELA,PR,0.066558852,0.037417461,0.069852941,0.064746522
00662,72071410200,ISABELA,PR,0.073381513,0.027879677,0.014705882,0.069741387
00662,72099420100,ISABELA,PR,0.008945267,0.005135730,0.000000000,0.008589301
00662,72071410500,ISABELA,PR,0.263860110,0.291269259,0.408088235,0.267435347
00662,72071410100,ISABELA,PR,0.098296862,0.088041086,0.036764706,0.096863038
00662,72071410403,ISABELA,PR,0.086976298,0.045487894,0.047794118,0.083839044
00664,72073956305,JAYUYA,PR,0.864613751,0.943722944,0.969696970,0.871613376
00664,72073956200,JAYUYA,PR,0.084948235,0.025974026,0.010101010,0.079814498
00664,72073956304,JAYUYA,PR,0.050438014,0.030303030,0.020202020,0.048572126
00667,72121960700,LAJAS,PR,0.001003568,0.002283105,0.000000000,0.001055075
00667,72079850101,LAJAS,PR,0.009032114,0.002283105,0.000000000,0.008651614
00667,72079850300,LAJAS,PR,0.001672614,0.002283105,0.000000000,0.001688120
00667,72079850400,LAJAS,PR,0.095450491,0.015981735,0.000000000,0.091052965
00667,72079850200,LAJAS,PR,0.852586976,0.888127854,0.805555556,0.853872125
00667,72079850102,LAJAS,PR,0.040254237,0.089041096,0.194444444,0.043680101
00669,72081958001,LARES,PR,0.342670760,0.125628141,0.135135135,0.330398070
00669,72081957900,LARES,PR,0.002686109,0.000000000,0.000000000,0.002533172
00669,72081958100,LARES,PR,0.654643131,0.874371859,0.864864865,0.667068758
00670,72083959800,LAS MARIAS,PR,0.900552486,0.870967742,0.567567568,0.895614577
00670,72083959900,LAS MARIAS,PR,0.099447514,0.129032258,0.432432432,0.104385423
00674,72091570800,MANATI,PR,0.158927854,0.042675894,0.140243902,0.148267898
00674,72091570400,MANATI,PR,0.085232164,0.128604383,0.192073171,0.090890429
00674,72091570100,MANATI,PR,0.274923951,0.374855825,0.192073171,0.282422376
00674,72091570202,MANATI,PR,0.052344602,0.014994233,0.000000000,0.048139595
00674,72145560701,MANATI,PR,0.000229582,0.000000000,0.000000000,0.000205286
00674,72017590100,MANATI,PR,0.000631349,0.000000000,0.000000000,0.000564537
00674,72145560402,MANATI,PR,0.001320094,0.006343714,0.012195122,0.001950218
00674,72091570700,MANATI,PR,0.007920565,0.007497116,0.000000000,0.007749551
00674,72145560801,MANATI,PR,0.011364289,0.004613610,0.000000000,0.010572235
00674,72091570600,MANATI,PR,0.063307123,0.071510957,0.076219512,0.064254555
00674,72101955301,MANATI,PR,0.011306893,0.002883506,0.000000000,0.010366949
00674,72145560802,MANATI,PR,0.000286977,0.013840830,0.018292683,0.001796254
00674,72091570300,MANATI,PR,0.110371348,0.298731257,0.240853659,0.129330254
00674,72091570500,MANATI,PR,0.108477300,0.021914648,0.039634146,0.099615089
00674,72145560204,MANATI,PR,0.001320094,0.000000000,0.000000000,0.001180395
00674,72091570201,MANATI,PR,0.112035815,0.011534025,0.088414634,0.102694380
00676,72131958700,MOCA,PR,0.001135074,0.000000000,0.000000000,0.001074114
00676,72099420200,MOCA,PR,0.981942008,0.997903564,1.000000000,0.982814178
00676,72099420500,MOCA,PR,0.000515943,0.000000000,0.000000000,0.000488234
00676,72099420100,MOCA,PR,0.002992467,0.000000000,0.000000000,0.002831755
00676,72099420302,MOCA,PR,0.013414508,0.002096436,0.000000000,0.012791720
00677,72117959601,RINCON,PR,0.000447427,0.000000000,0.000000000,0.000413052
00677,72117959401,RINCON,PR,0.061446682,0.000000000,0.000000000,0.056725871
00677,72117959500,RINCON,PR,0.723639075,0.880893300,0.638709677,0.730552113
00677,72117959602,RINCON,PR,0.214466816,0.119106700,0.361290323,0.212308963
00678,72115330100,QUEBRADILLAS,PR,0.210497084,0.145695364,0.151724138,0.206371191
00678,72115330400,QUEBRADILLAS,PR,0.048134777,0.009933775,0.000000000,0.045533241
00678,72115330200,QUEBRADILLAS,PR,0.491252430,0.663907285,0.800000000,0.504155125
00678,72115330300,QUEBRADILLAS,PR,0.250115709,0.180463576,0.048275862,0.243940443
00680,72097081601,MAYAGUEZ,PR,0.052044084,0.003038359,0.000000000,0.044486190
00680,72097082102,MAYAGUEZ,PR,0.009466843,0.000000000,0.035528596,0.009672649
00680,72097080200,MAYAGUEZ,PR,0.004992464,0.020508925,0.014731369,0.007074623
00680,72097082104,MAYAGUEZ,PR,0.051808591,0.003797949,0.001733102,0.044446221
00680,72097080800,MAYAGUEZ,PR,0.062500000,0.067983289,0.094454073,0.064550941
00680,72097082012,MAYAGUEZ,PR,0.056424265,0.132168629,0.032928943,0.063311883
00680,72097082200,MAYAGUEZ,PR,0.055811982,0.083554880,0.091854419,0.060394100
00680,72067820101,MAYAGUEZ,PR,0.000141296,0.000000000,0.000000000,0.000119909
00680,72067820102,MAYAGUEZ,PR,0.001460060,0.001139385,0.001733102,0.001438906
00680,72097082001,MAYAGUEZ,PR,0.058590806,0.022787695,0.018197574,0.052959751
00680,72097080900,MAYAGUEZ,PR,0.034429164,0.012533232,0.025129983,0.031695911
00680,72097082103,MAYAGUEZ,PR,0.065137528,0.048233954,0.057192374,0.062992126
00680,72011810400,MAYAGUEZ,PR,0.000047099,0.000000000,0.000000000,0.000039970
00680,72097081200,MAYAGUEZ,PR,0.055388093,0.026965439,0.045060659,0.051920540
00680,72097081900,MAYAGUEZ,PR,0.028636021,0.000000000,0.000000000,0.024301531
00680,72097081602,MAYAGUEZ,PR,0.000659382,0.000000000,0.000000000,0.000559575
00680,72097080600,MAYAGUEZ,PR,0.078937453,0.258640334,0.249566724,0.105719653
00680,72097082022,MAYAGUEZ,PR,0.028730219,0.007595898,0.005199307,0.025420680
00680,72097080100,MAYAGUEZ,PR,0.042059156,0.147360425,0.131715771,0.057276470
00680,72097081300,MAYAGUEZ,PR,0.204078749,0.037599696,0.102253033,0.181861785
00680,72097082300,MAYAGUEZ,PR,0.031367747,0.094948728,0.073656846,0.040009593
00680,72097081800,MAYAGUEZ,PR,0.047805200,0.008735283,0.008665511,0.041888165
00680,72097081700,MAYAGUEZ,PR,0.029483798,0.022028105,0.010398614,0.027818858
00680,72023830300,MAYAGUEZ,PR,0.000000000,0.000379795,0.000000000,0.000039970
00681,72097082300,MAYAGUEZ,PR,0.424798793,0.552966102,0.500000000,0.438454627
00681,72097080600,MAYAGUEZ,PR,0.575201207,0.447033898,0.500000000,0.561545373
00682,72097081523,MAYAGUEZ,PR,0.083915575,0.023558083,0.022883295,0.077362409
00682,72097081524,MAYAGUEZ,PR,0.073071325,0.049553209,0.018306636,0.069639148
00682,72097081501,MAYAGUEZ,PR,0.112590975,0.065800162,0.089244851,0.108190550
00682,72097081522,MAYAGUEZ,PR,0.112299854,0.099106418,0.080091533,0.110332295
00682,72097080800,MAYAGUEZ,PR,0.000072780,0.003249391,0.000000000,0.000324507
00682,72097081200,MAYAGUEZ,PR,0.047598253,0.025995126,0.226544622,0.050947560
00682,72097081700,MAYAGUEZ,PR,0.050873362,0.024370431,0.052631579,0.048805815
00682,72097082200,MAYAGUEZ,PR,0.032823872,0.001624695,0.000000000,0.029400312
00682,72097082001,MAYAGUEZ,PR,0.075764192,0.129975630,0.082379863,0.080282970
00682,72097080900,MAYAGUEZ,PR,0.000873362,0.000812348,0.000000000,0.000843718
00682,72097081601,MAYAGUEZ,PR,0.050655022,0.027619821,0.018306636,0.047897196
00682,72097080600,MAYAGUEZ,PR,0.001746725,0.022745735,0.000000000,0.003374870
00682,72097080300,MAYAGUEZ,PR,0.065356623,0.064987815,0.052631579,0.064966251
00682,72097082300,MAYAGUEZ,PR,0.088937409,0.131600325,0.077803204,0.092030114
00682,72097082012,MAYAGUEZ,PR,0.051382824,0.151096669,0.066361556,0.059774143
00682,72097080200,MAYAGUEZ,PR,0.051819505,0.138911454,0.146453089,0.061461578
00682,72097082102,MAYAGUEZ,PR,0.100218341,0.038992689,0.066361556,0.094366563
00683,72125840200,SAN GERMAN,PR,0.008703834,0.000000000,0.000000000,0.007990785
00683,72125840700,SAN GERMAN,PR,0.225358739,0.340112994,0.470355731,0.237131956
00683,72067820101,SAN GERMAN,PR,0.008076531,0.001129944,0.000000000,0.007486862
00683,72023830102,SAN GERMAN,PR,0.000784129,0.001129944,0.000000000,0.000791880
00683,72121960400,SAN GERMAN,PR,0.000862542,0.000000000,0.000000000,0.000791880
00683,72125840300,SAN GERMAN,PR,0.000784129,0.001129944,0.007905138,0.000935858
00683,72097080900,SAN GERMAN,PR,0.000156826,0.000000000,0.000000000,0.000143978
00683,72125840500,SAN GERMAN,PR,0.339057477,0.457627119,0.359683794,0.346987258
00683,72121960300,SAN GERMAN,PR,0.005018427,0.001129944,0.011857708,0.004895256
00683,72125840400,SAN GERMAN,PR,0.314514232,0.176271186,0.126482213,0.302282053
00683,72125840600,SAN GERMAN,PR,0.096683133,0.021468927,0.023715415,0.090562235
00685,72131958700,SAN SEBASTIAN,PR,0.008122016,0.000000000,0.035087719,0.007925030
00685,72131958500,SAN SEBASTIAN,PR,0.002604005,0.003039514,0.000000000,0.002603112
00685,72131959500,SAN SEBASTIAN,PR,0.000186000,0.000000000,0.000000000,0.000173541
00685,72131009200,SAN SEBASTIAN,PR,0.298964598,0.545086120,0.707602339,0.317059062
00685,72131959000,SAN SEBASTIAN,PR,0.627937256,0.207700101,0.058479532,0.598310869
00685,72131958900,SAN SEBASTIAN,PR,0.057908116,0.244174265,0.198830409,0.069936947
00685,72131958800,SAN SEBASTIAN,PR,0.000992002,0.000000000,0.000000000,0.000925551
00685,72131959200,SAN SEBASTIAN,PR,0.003286007,0.000000000,0.000000000,0.003065888
00687,72101955401,MOROVIS,PR,0.044942680,0.148514851,0.395348837,0.051899101
00687,72047530200,MOROVIS,PR,0.000202901,0.000000000,0.000000000,0.000193293
00687,72145560100,MOROVIS,PR,0.001014507,0.000000000,0.000000000,0.000966464
00687,72101955201,MOROVIS,PR,0.084102668,0.012376238,0.081395349,0.081279598
00687,72101955500,MOROVIS,PR,0.120320584,0.430693069,0.476744186,0.135401566
00687,72101955302,MOROVIS,PR,0.062798012,0.029702970,0.000000000,0.060983860
00687,72101955301,MOROVIS,PR,0.409049407,0.207920792,0.023255814,0.397989755
00687,72101955202,MOROVIS,PR,0.276453282,0.168316832,0.023255814,0.270126607
00687,72101955402,MOROVIS,PR,0.001115958,0.002475248,0.000000000,0.001159756
00688,72013302300,SABANA HOYOS,PR,1.000000000,1.000000000,1.000000000,1.000000000
00690,72005401303,SAN ANTONIO,PR,0.151076716,0.007042254,0.000000000,0.144000000
00690,72005400100,SAN ANTONIO,PR,0.848923284,0.992957746,1.000000000,0.856000000
00692,72143550500,VEGA ALTA,PR,0.128150573,0.357575758,0.580000000,0.147631679
00692,72143550101,VEGA ALTA,PR,0.113829787,0.014545455,0.000000000,0.106328155
00692,72101955302,VEGA ALTA,PR,0.001309329,0.000000000,0.000000000,0.001212581
00692,72145560600,VEGA ALTA,PR,0.002536825,0.000000000,0.000000000,0.002349375
00692,72143550300,VEGA ALTA,PR,0.076104746,0.027878788,0.000000000,0.072224327
